citation_name,publisher,publication_date,publication_type,publisher_hq,citation_comment
" 83 ^ Cheng, June (30 October 2018). ""Razor-wire evidence"". World. Archived from the original on 22 October 2020. Retrieved 21 October 2020.",World,2018,Media,USA,Christian fundamentalist
"30 ^ Cheng, June (2 July 2020). ""A cultural genocide before our eyes"". World. Archived from the original on 4 July 2020. Retrieved 22 October 2020.",World,2020,Media,USA,Christian fundamentalist
" 65 ^ Debata, Mahesh Ranjan (2007). China's Minorities: Ethnic-religious Separatism in Xinjiang. Pentagon Press. p. 170. ISBN 978-81-8274-325-0. Archived from the original on 13 January 2020. Retrieved 28 January 2020.",Pentagon Press,2007,Thinktank,USA,Government funded
"54        ^ Hoshur, Shohret; Finney, Richard (23 May 2014). ""Over 100 Detained After Xinjiang Police Open Fire on Protesters"". Translated by Shohret Hoshur. Radio Free Asia. Archived from the original on 9 July 2020. Retrieved 9 July 2020.",Radio Free Asia,2014,Media,USA,Government funded
"55 ^ Sulaiman, Eset; Ponnudurai, Parameswaran (20 May 2014). ""Xinjiang Police Open Fire at Protest Against Clampdown on Islamic Dress"". Translated by Eset Sulaiman. Radio Free Asia. Archived from the original on 6 August 2020. Retrieved 9 July 2020.",Radio Free Asia,2014,Media,USA,Government funded
"32 ^ ""Ilham Tohti"". World Uyghur Congress. 12 September 2016. Archived from the original on 15 November 2019. Retrieved 14 December 2019.",World Uyghur Congress,2016,NGO,Germany,Government funded
"51 ^ ""'No Sign' of Kazakh Imam Scheduled For Release From Prison in July"". Radio Free Asia. 9 August 2017. Archived from the original on 16 December 2019. Retrieved 16 December 2019. “In March, Xinjiang authorities fired an ethnic Uyghur official for holding her wedding ceremony at home according to Islamic traditions instead of at a government-sanctioned venue. Salamet Memetimin, the communist party secretary for Chaka township's Bekchan village, in Hotan (in Chinese, Hetian) prefecture's Chira (Cele) county, was among 97 officials recently charged with disciplinary violations, according to an April 10 report by the state-run Hotan Daily newspaper. Local residents said the woman was relieved of her duties for taking her ""nikah"" marriage vows in her own home. ""I think this may be a local policy unique to Xinjiang,"" the source said. ""You have to first apply for a marriage certificate and then carry out the Islamic practice of nikah."" ""The imams aren't allowed to perform nikah if there is no marriage certificate, or they will be sent to prison.""”",Radio Free Asia,2017,Media,USA,Government funded
"59 ^ Lin, Xin (20 April 2017). Luisetta Mudie (ed.). ""China Bans 'Extreme' Islamic Baby Names Among Xinjiang's Uyghurs"". Translated by Luisetta Mudie. Radio Free Asia. Archived from the original on 14 November 2019. Retrieved 26 April 2020.",Radio Free Asia,2017,Media,USA,Government funded
"a b ""A tale of torture in a Chinese internment camp for Uighurs"". U.S. Virtual Embassy Iran. 7 December 2018. Archived from the original on 4 December 2019. Retrieved 4 December 2019.",US Virtual Embassy,2018,Agency,USA,Government funded
" 76 ^ ""China Steps Up 'Strike Hard' Campaign in Xinjiang"". Radio Free Asia. Archived from the original on 3 December 2018. Retrieved 2 December 2018.",Radio Free Asia,2018,Media,USA,Government funded
"a b Hoshur, Shohret (10 May 2018). ""Xinjiang Authorities Jail Uyghur Imam Who Took Son to Unsanctioned Religious School"". Radio Free Asia. Archived from the original on 4 December 2019. Retrieved 14 December 2019.",Radio Free Asia,2018,Media,USA,Government funded
"67 ^ Beach, Sophie (20 August 2018). ""Evidence of Abuse, Deaths in Xinjiang Camps Emerges"". China Digital Times. Retrieved 22 March 2021.",China Digital Times,2018,Media,USA,Government funded
"85 ^ ""Foreign Ministry Spokesperson Hua Chunying's Regular Press Conference on January 21, 2019"". Foreign Ministry of China. Retrieved 27 January 2018.",Foreign Ministry of China,2019,Agency,China,Government funded
"3 ^ Congressional Research Service (18 June 2019). ""Uyghurs in China"" (PDF). Congressional Research Service. Archived (PDF) from the original on 18 December 2020. Retrieved 2 December 2019.",Congressional Research Service,2019,Agency,USA,Government funded
" 282 ^ Liebold, James (28 July 2019). ""China's treatment of Uighurs is cultural genocide"". Asia Times. Archived from the original on 2 August 2019.",Asia Times,2019,Media,China (Hong Kong),Government funded
"65 ^ Hoshur, Shohret (29 October 2019). ""At Least 150 Detainees Have Died in One Xinjiang Internment Camp: Police Officer"". Radio Free Asia.",Radio Free Asia,2019,Media,USA,Government funded
"66 ^ Juma, Mamatjan (21 November 2019). ""Police Chief Detained in Xinjiang After Expressing Concerns Over Mass Detention of Fellow Uyghurs"". Radio Free Asia. Retrieved 22 March 2021.",Radio Free Asia,2019,Media,USA,Government funded
"75 ^ Lipes, Joshua (12 November 2019). ""Expert Estimates China Has More Than 1,000 Internment Camps For Xinjiang Uyghurs"". Radio Free Asia. Archived from the original on 21 December 2019. Retrieved 13 November 2019.",Radio Free Asia,2019,Media,USA,Government funded
"77 ^ ""Internment Camps in Xinjiang's Aksu Separated by Crematorium"". Radio Free Asia.",Radio Free Asia,2019,Media,USA,Government funded
"a b c Hoshur, Shohret (31 October 2019). ""Male Chinese 'Relatives' Assigned to Uyghur Homes Co-sleep With Female 'Hosts'"". Radio Free Asia.",Radio Free Asia,2019,Media,USA,Government funded
"31 ^ ""Detained and Disappeared: Intellectuals Under Assault in the Uyghur Homeland"". Uyghur Human Rights Project. Archived from the original on 11 December 2019.",Uyghur Human Rights Project,2019,NGO,USA,Government funded
"44 ^ Sintash, Bahram K. (October 2019). ""Demolishing Faith: The Destruction and Desecration of Uyghur Mosques and Shrines"" (PDF). Uyghur Human Rights Project. pp. 24–25. Archived (PDF) from the original on 11 September 2020. Retrieved 11 August 2020. “The Sultanim Cemetery has a history of over 1,000 years. King Sultan Satuq Bughra Khan of the Kara-Khanid Khanate (999–1211) conquered Hotan (the Buddhist Kingdom Udun at that time), and spread Islam around 960 AD. During the conquest, four Kara-khan commanders, including Prince Sultan Kilich Khan, were killed and Muslims buried them at this location. Since then, the cemetery has been known as Sultanim Maziri (My Sultan Shrine) and became one of the most important cemeteries among Uyghur Muslims who have paid their respects here for over 1,000 years. In the center, the four commanders' graves were still there until China completely bulldozed the entire cemetery in 2019. Many religious leaders, scholars and other important people in Hotan's far and recent history have been buried in this cemetery.”",Uyghur Human Rights Project,2019,NGO,USA,Government funded
"47 ^ Shamseden, Zubayra. ""Uyghur Human Rights Project"". Archived from the original on 3 December 2019.",Uyghur Human Rights Project,2019,NGO,USA,Government funded
"a b Enos, Olivia; Kim, Yujin (29 August 2019). ""China's Forced Sterilization of Uighur Women Is Cultural Genocide"". The Heritage Foundation. Archived from the original on 2 December 2019. Retrieved 2 December 2019.",The Heritage Foundation,2019,Thinktank,USA,Government funded
"a b ""Committee News Release - October 21, 2020 - SDIR (43-2)"". House of Commons of Canada. 21 October 2020. Retrieved 18 December 2020.",House of Commons of Canada,2020,Agency,Canada,Government funded
" 297 ^ ""Menendez, Cornyn Introduce Bipartisan Resolution to Designate Uyghur Human Rights Abuses by China as Genocide"". United States Senate Committee on Foreign Relations. 27 October 2020. Retrieved 18 December 2020.",US Senate Committee on Foreign Relations,2020,Agency,USA,Government funded
" 299 ^ ""Annual Report 2020"" (PDF). Congressional-Executive Commission on China. 14 January 2021. Retrieved 14 January 2021.",Congressional Executive Commission on China,2020,Agency,USA,Government funded
" 367 ^ ""DHS Cracks Down on Goods Produced by China's State-Sponsored Forced Labor"". Department of Homeland Security. 14 September 2020. Archived from the original on 19 September 2020. Retrieved 19 September 2020.",US Department of Homeland Security,2020,Agency,USA,Government funded
" 432 ^ ""USCIRF Commends U.S. Holocaust Museum Spotlight on China"". United States Commission on International Religious Freedom. 24 April 2020. Archived from the original on 24 June 2020. Retrieved 13 May 2020. “The United States Commission on International Religious Freedom (USCIRF) today commended the decision of the U.S. Holocaust Memorial Museum to add China to its list of case studies due to concerns about the mass internment of Uighur and other Muslims.”",United States Commission on International Religious Freedom,2020,Agency,USA,Government funded
" 453 ^ Neil L. Bradley (22 September 2020). ""U.S. Chamber Letter on H.R. 6210, the ""Uyghur Forced Labor Prevention Act,"" and H.R. 6270, the ""Uyghur Forced Labor Disclosure Act of 2020"""". US Chamber of Commerce. Retrieved 7 October 2020.",US Chamber of Commerce,2020,Agency,USA,Government funded
"a b ""Xinjiang's TikTok wipes away evidence of Uyghur persecution"". Rappler. Coda Story.",Rappler,2020,Media,Philippines,Government funded
"01 ^ Cockerell, Isobel (19 September 2020). ""Welcome to TikTok's sanitized version of Xinjiang"". Rappler.",Rappler,2020,Media,Philippines,Government funded
"23 ^ ""Removal of Islamic Motifs Leaves Xinjiang's Id Kah Mosque 'a Shell For Unsuspecting Visitors'"". Radio Free Asia. Archived from the original on 31 July 2020. Retrieved 12 August 2020.",Radio Free Asia,2020,Media,USA,Government funded
"29 ^ ""Xinjiang Authorities Institute Mandarin-Only Instruction at Prominent Uyghur High School"". Radio Free Asia. Archived from the original on 23 June 2020. Retrieved 25 June 2020.",Radio Free Asia,2020,Media,USA,Government funded
"42 ^ Niyaz, Kurban; Lipes, Joshua (1 May 2020). ""Xinjiang Authorities Construct Parking Lot Atop Historic Uyghur Cemetery"". Radio Free Asia. Archived from the original on 4 May 2020. Retrieved 5 May 2020.",Radio Free Asia,2020,Media,USA,Government funded
"52 ^ Hoshur, Shohret; Lipes, Joshua (25 August 2020). ""Xinjiang Authorities Restrict Islamic 'Nikah' Wedding Rites, Citing Danger to 'Stability'"". Translated by Elise Anderson. Radio Free Asia. Archived from the original on 29 August 2020. Retrieved 26 August 2020.",Radio Free Asia,2020,Media,USA,Government funded
" 245 ^ Lipes, Joshua (18 November 2020). ""Aksu Internment Camp Was Former Hospital, Raising Fears Uyghur Detainees Are Used in Organ Trade"". Radio Free Asia.",Radio Free Asia,2020,Media,USA,Government funded
"a b c Cockerell, Isobel (9 July 2020). ""Revealed: New videos expose China's forced migration of Uyghurs during the pandemic"". Coda Story.",Coda Story,2020,Media,USA,Government funded
" 349 ^ Lipes, Joshua (21 October 2020). ""Canada's Parliament Labels China's Abuses in Xinjiang 'Genocide,' Urges Government Action"". Radio Free Asia. Archived from the original on 24 October 2020. Retrieved 23 October 2020.",Radio Free Asia,2020,Media,USA,Government funded
" 433 ^ Seytoff, Alim; Lipes, Joshua (6 March 2020). ""US Holocaust Museum Labels China's Persecution of Uyghurs in Xinjiang 'Crimes Against Humanity'"". Radio Free Asia. Archived from the original on 10 May 2020. Retrieved 13 May 2020. “The Chinese government's persecution of ethnic Uyghurs—including their mass detention in internment camps—constitutes ""crimes against humanity,"" according to the U.S. Holocaust Memorial Museum, opening an avenue for what one expert said could be legal action in an international court of law.”",Radio Free Asia,2020,Media,USA,Government funded
"a b Lipes, Joshua (4 September 2020). ""Independent Tribunal Launched to Judge Claims of Mass Atrocities Crimes in Xinjiang"". Radio Free Asia.",Radio Free Asia,2020,Media,USA,Government funded
" 494 ^ Thompson, Caitlin (30 July 2020). ""Enter the Grayzone: fringe leftists deny the scale of China's Uyghur oppression"". Coda Story. Retrieved 1 November 2021.",Coda Story,2020,Media,USA,Government funded
"a b c ""Sterilizations, IUDs, and Mandatory Birth Control: The CCP's Campaign to Suppress Uyghur Birthrates in Xinjiang"" (PDF). Jamestown Foundation. Archived (PDF) from the original on 2 August 2020. Retrieved 12 August 2020.",Jamestown Foundation,2020,Thinktank,USA,Government funded
"a b c Yellinek, Roie; Chen, Elizabeth. ""The ""22 vs. 50"" Diplomatic Split Between the West and China Over Xinjiang and Human Rights"". Jamestown Foundation. Archived from the original on 7 May 2020. Retrieved 12 August 2020.",Jamestown Foundation,2020,Thinktank,USA,Government funded
" 356 ^ ""2nd Session, 43rd Parliament"". Debates. Senate of Canada. 152 (56). 29 June 2021.",Canadian Senate,2021,Agency,Canada,Government funded
" 425 ^ ""Government blocks motion to recognise China's treatment of Uighurs as genocide"". Special Broadcasting Service. 15 March 2021. Retrieved 20 March 2021.",Special Broadcasting Service,2021,Media,Australia,Government funded
"a b c Gerlin, Roseanne (15 June 2021). ""Belgium, Czech Republic Legislatures Pass Uyghur Genocide Declarations"". Radio Free Asia.",Radio Free Asia,2021,Media,USA,Government funded
"a b Brouwer, Joseph (6 April 2021). ""Propaganda Films Attempt to Cloak Xinjiang in Disinformation"". China Digital Times.",China Digital Times,2021,Media,USA,Government funded
" 403 ^ Seytoff, Alim; Juma, Mamatjan (15 March 2021). ""Dismaying Uyghurs, Legislatures of Australia and Turkey Reject Motions on China Genocide Label"". Radio Free Asia. Retrieved 20 March 2021.",Radio Free Asia,2021,Media,USA,Government funded
" 413 ^ Solonyna, Yevhen; Standish, Reid (28 July 2021). ""China Used Vaccines, Trade To Get Ukraine To Drop Support For Xinjiang Scrutiny"". Radio Free Europe. Archived from the original on 28 July 2021. Retrieved 28 July 2021.",Radio Free Asia,2021,Media,USA,Government funded
" 449 ^ Gerin, Roseanne (4 June 2021). ""Uyghur Tribunal Hears Grim Accounts of Rape And Torture in China's Xinjiang"". Radio Free Asia.",Radio Free Asia,2021,Media,USA,Government funded
"a b c ""The Uyghur Genocide: An Examination of China's Breaches of the 1948 Genocide Convention"". Newlines Institute for Strategy and Policy. 8 March 2021. Retrieved 9 March 2021.",Newlines Institute,2021,Thinktank,USA,Government funded
" 402 ^ ""Turkey abandons criticism of China's Xinjiang policies, cracks down on Uyghur activists"". ANI News.",ANI,2021,Media,India,History of serious propaganda
"97 ^ ""China profiting off of forced labor in Xinjiang: report"". aa.com.tr. Archived from the original on 9 December 2019. Retrieved 9 December 2019.",Anadolu Agency,2019,Media,Turkey,Strong propaganda record
" 317 ^ ""China Tribunal: Final judgement detailed, the hearings records, submissions etc"". China Tribunal. Retrieved 12 April 2021.",China Tribunal,2020,NGO,UK,Ties to Falun Gong
" 49 ^ Forbes, Andrew D. (1986). Warlords and Muslims in Chinese Central Asia: A Political History of Republican Sinkiang 1911–1949 W. (illustrated ed.). Cambridge University Press. ISBN 978-0-5212-5514-1. Archived from the original on 4 July 2014. Retrieved 10 March 2014.",Cambridge University Press,1986,Journal,UK,No known association
" 52 ^ Benson, Linda (1990). The Ili Rebellion: the Moslem Challenge to Chinese Authority in Xinjiang, 1944–1949. M. E. Sharpe. ISBN 978-0-87332-509-7. Archived from the original on 22 June 2020. Retrieved 23 May 2020.",Australian Journal of Chinese Affairs,1990,Journal,Australia,No known association
" 61 ^ David Holley (12 November 1990). ""An Islamic Challenge to China: Officials fear the spread of fundamentalism in the westernmost region. They toughen controls on religious life and suppress secessionist activities"". Los Angeles Times. Retrieved 6 September 2020.",Los Angeles Times,1990,Media,USA,No known association
"a b Christoffersen, Gaye (1993). ""Xinjiang and the Great Islamic Circle: The Impact of Transnational Forces on Chinese Regional Economic Planning"". The China Quarterly (133): 137–138. ISSN 0305-7410. JSTOR 654242.",The China Quarterly,1993,Journal,UK,No known association
" 62 ^ Sautman, Barry (March 1998). ""Preferential policies for ethnic minorities in China: The case of Xinjiang"" (PDF). Nationalism and Ethnic Politics. 4 (1–2): 103–105. doi:10.1080/13537119808428530.",Nationalism and Ethnic Politics,1998,Journal,USA,No known association
" 63 ^ ""China: Human Rights Concerns in Xinjiang"". Human Rights Watch. October 2001. Archived from the original on 12 November 2008. Retrieved 4 December 2016.",Human Rights Watch,2001,Media,USA,No known association
" 430 ^ Christoffersen, Gaye (2 September 2002). ""Constituting the Uyghur in U.S.-China Relations The Geopolitics of Identity Formation in the War on Terrorism"" (PDF). Strategic Insights. 1 (7): 7. Archived (PDF) from the original on 9 October 2020. Retrieved 9 May 2020.",Strategic Insights,2002,Journal,USA,No known association
"22 ^ Peter Neville-Hadley. Frommer's China. Frommer's, 2003. ISBN 978-0-7645-6755-1. Page 302.",Frommer,2003,Travel Guide,International,No known association
" 43 ^ Gladney, Dru C. ""The Chinese Program of Development and Control, 1978–2001"". In Starr (2004), pp. 101–119.",Studies of Central Asia and the Caucus (Routledge),2004,Book,UK,No known association
" 51 ^ Roberts, Sean R. ""A ""Land of Borderlands"": Implications of Xinjiang's Cross-border Interactions"". In Starr (2004), p. 217.",Studies of Central Asia and the Caucus (Routledge),2004,Book,UK,No known association
" 53 ^ ""Devastating Blows: Religious Repression of Uighurs in Xinjiang"" (PDF). Human Rights Watch. Vol. 17, no. 2. April 2005. Post 9/11: labeling Uighurs terrorists, p. 16. Archived (PDF) from the original on 17 April 2019. Retrieved 9 June 2018.",Human Rights Watch,2005,Journal,USA,No known association
"a b ""Devastating Blows: Religious Repression of Uighurs in Xinjiang"" (PDF). Human Rights Watch. April 2005. pp. 1–112. Archived (PDF) from the original on 28 April 2016. Retrieved 4 December 2019.",Human Rights Watch,2005,Media,USA,No known association
" 64 ^ Millward, James A. (2007). Eurasian Crossroads: A History of Xinjiang (illustrated ed.). Columbia University Press. ISBN 978-0-2311-3924-3. Archived from the original on 10 December 2013. Retrieved 10 March 2014.",Columbia University Press,2007,Book,USA,No known association
" 396 ^ Reuters Staff (10 July 2009). ""Turkish leader calls Xinjiang killings ""genocide"""". Reuters. Retrieved 21 February 2021.",Reuters,2009,Media,Canada,No known association
" 66 ^ Branigan, Tania; Watts, Jonathan (5 July 2009). ""Muslim Uighurs riot as ethnic tensions rise in China"". The Guardian. London. Archived from the original on 7 September 2013. Retrieved 19 December 2019.",The Guardian,2009,Media,UK,No known association
" 69 ^ ""Chinese break up 'needle' riots"". BBC. 4 September 2009. Archived from the original on 4 September 2009. Retrieved 4 September 2009.",BBC,2009,Media,UK,No known association
" 55 ^ Reed, J. Todd; Raschke, Diana (2010). The ETIM: China's Islamic Militants and the Global Terrorist Threat. ABC-CLIO. p. 37. ISBN 978-0-3133-6540-9. Archived from the original on 18 June 2020. Retrieved 10 March 2014.",ABC-CLIO,2010,Book,USA,No known association
"a b Wickeri, Philip L.; Tam, Yik-fai (2011). ""The Religious Life of Ethnic Minority Communities"". In Palmer, David A.; Shive, Glenn; Wickeri, Philip L. (eds.). Chinese Religious Life. Oxford: Oxford University Press. pp. 61–63. ISBN 9780199731398.",Oxford University Press,2011,Book,UK,No known association
" 70 ^ Richburg, Keith B. (19 July 2011). ""China: Deadly attack on police station in Xinjiang"". San Francisco Chronicle. Archived from the original on 2 February 2013. Retrieved 29 July 2011.",San Francisco Chronicle,2011,Media,USA,No known association
" 236 ^ ""Congressional Testimony:Organ Harvesting of Religious and Political Dissidents by the Chinese Communist Party"" (PDF). Ethan Gutmann. House Committee on Foreign Affairs, Subcommittee on Oversight and Investigations. 12 September 2012. Archived from the original (PDF) on 15 September 2012. Retrieved 1 February 2020.",US Congressional Testimony,2012,Agency,USA,No known association
" 276 ^ Kadeer, Rebiya (8 November 2012). ""The World Holds Its Breath for China"". WSJ. Retrieved 17 March 2021.",The Wall Street Journal,2012,Media,USA,No known association
" 42 ^ Eberhard, David M.; Simons, Garry F.; Fennig, Charles D. ""Uyghur"". Ethnologue: Languages of the World. Dallas, Texas: Ethnologue. Retrieved 6 April 2012.",Ethnologue,2012,Product,USA,No known association
" 50 ^ Dillon, Michael (2014). Xinjiang and the Expansion of Chinese Communist Power: Kashgar in the Early Twentieth Century. Routledge. ISBN 978-1-317-64721-8. Archived from the original on 8 January 2020. Retrieved 28 January 2020.",Routledge,2014,Journal,UK,No known association
" 72 ^ ""Deadly China blast at Xinjiang railway station"". BBC News. 30 April 2014. Archived from the original on 30 April 2014. Retrieved 1 May 2014.",BBC,2014,Media,UK,No known association
" 73 ^ ""Urumqi car and bomb attack kills dozens"". The Guardian. 22 May 2014. Archived from the original on 23 February 2017. Retrieved 22 May 2014.",The Guardian,2014,Media,UK,No known association
" 71 ^ ""Deadly Terrorist Attack in Southwestern China Blamed on Separatist Muslim Uighurs"". Time. Archived from the original on 3 March 2014. Retrieved 4 March 2014.",Time Magazine,2014,Media,USA,No known association
" 78 ^ Wong, Edward (30 May 2014). ""China Moves to Calm Restive Xinjiang Region"". The New York Times. Archived from the original on 11 May 2019. Retrieved 11 May 2019.",The New York Times,2014,Media,USA,No known association
"53 ^ Denyer, Simon (19 September 2014). ""China's war on terror becomes all-out attack on Islam in Xinjiang"". The Washington Post. Archived from the original on 28 July 2020. Retrieved 9 July 2020.",The Washington Post,2014,Media,USA,No known association
"56 ^ ""The Global Magnitsky Human Rights Accountability Act"". US Government Publishing Office. 2015. p. 13 & 15 – via Internet Archive.",US Government Publishing House,2015,Agency,USA,No known association
" 234 ^ Guo, Rongxing (15 July 2015). China's Spatial (Dis)integration: Political Economy of the Interethnic Unrest in Xinjiang. Chandos Publishing. ISBN 9780081004036. Archived from the original on 18 December 2020. Retrieved 30 September 2020.",Elsevier,2015,Book,International,No known association
" 277 ^ Mackerras, Colin (31 January 2015). ""Xinjiang in China's Foreign Relations: Part of a New Silk Road or Central Asian Zone of Conflict?"". East Asia. Springer Science and Business Media LLC. 32 (1): 25–42. doi:10.1007/s12140-015-9224-8. hdl:10072/71101. ISSN 1096-6838. S2CID 154037766.",East Asia,2015,Journal,UK,No known association
"a b ""China expels French reporter who questioned terror claims"". The Times of Israel. AP. 26 December 2015.",The Times of Israel,2015,Media,Israel,No known association
"27 ^ ""Tongue-Tied; Education in Xinjiang"". The Economist. 27 June 2015.",The Economist,2015,Media,USA,No known association
"28 ^ ""China's Effort to Silence the Sound of Uyghur"". The Diplomat. Archived from the original on 15 September 2019. Retrieved 11 December 2019.",The Diplomat,2015,Media,USA,No known association
"a b ""The reality of human organ harvesting"". NewsComAu. 18 September 2016.",news.com.au,2016,Media,Australia,No known association
"10 ^ Trédaniel, Marie; Lee, Pak K. (18 September 2017). ""Explaining the Chinese framing of the ""terrorist"" violence in Xinjiang: insights from securitization theory"" (PDF). Nationalities Papers. 46 (1): 177–195. doi:10.1080/00905992.2017.1351427. ISSN 0090-5992. S2CID 157729459. Archived (PDF) from the original on 27 April 2019. Retrieved 3 February 2020.",Nationalities Papers,2017,Journal,UK,No known association
"a b Shepherd, Christian; Blanchard, Ben (30 March 2017). ""China sets rules on beards, veils to combat extremism in Xinjiang"". Reuters. Archived from the original on 21 December 2019. Retrieved 11 December 2019.",Reuters,2017,Media,Canada,No known association
" 274 ^ Phillips, Tom (21 February 2017). ""China orders hundreds of thousands of private cars to have GPS trackers installed for monitoring"". The Guardian. ISSN 0261-3077. Archived from the original on 5 December 2019. Retrieved 5 December 2019.",The Guardian,2017,Media,UK,No known association
" 67 ^ ""Wary Of Unrest Among Uighur Minority, China Locks Down Xinjiang Region"". NPR. 26 September 2017. Archived from the original on 3 February 2020. Retrieved 28 January 2020. “In the years that followed, Uighur terrorists killed dozens of Han Chinese in brutal, coordinated attacks at train stations and government offices. A few Uighurs have joined ISIS, and Chinese authorities are worried about more attacks on Chinese soil.”",NPR,2017,Media,USA,No known association
"a b c Hernandez, Javier C. (25 April 2017). ""China bans 'Muhammad,' 'Jihad' as baby names in Muslim region"". The Seattle Times. The New York Times.",The Seattle Times,2017,Media,USA,No known association
" 278 ^ Cronin-Furman, Kate (19 September 2018). ""China Has Chosen Cultural Genocide in Xinjiang—For Now"". Foreign Policy. Retrieved 17 March 2021.",Foreign Policy,2018,Journal,USA,No known association
" 90 ^ Dorman, Mark; Stephen, Hutcheon; Dylan, Welch; Taylor, Kyle (31 October 2018). ""China's frontier of fear"". Australian Broadcasting Corporation.",ABC,2018,Media,Australia,No known association
"4 ^ ""Muslim minority in China's Xinjiang face 'political indoctrination': Human Rights Watch"". Reuters. 9 September 2018. Archived from the original on 9 November 2020. Retrieved 18 December 2020.",Reuters,2018,Media,Canada,No known association
" 215 ^ Vanderklippe, Nathan (2 August 2018). ""'Everyone was silent, endlessly mute': Former Chinese re-education instructor speaks out"". The Globe and Mail. Retrieved 24 February 2021.",The Globe and Mail,2018,Media,Canada,No known association
" 84 ^ ""Foreign journalists in China complain of abuse from officials"". South China Morning Post. 30 January 2018. Archived from the original on 9 April 2020. Retrieved 15 March 2020.",South China Morning Post,2018,Media,China (Hong Kong),No known association
" ""Knocking the door of the mind with emotion, use reasons to ease the mood of the people"". Baidu Baijiahao. Archived from the original on 20 August 2018. Retrieved 14 April 2017.",Baidu Baijiahao,2018,Media,China (Mainland),No known association
"a b ""One million Muslim Uighurs held in secret China camps: UN panel"". Al Jazeera. 10 August 2018.",Al Jazeera,2018,Media,Qatar,No known association
"82 ^ ""Academics condemn China over Xinjiang camps, urge sanctions"". Al Jazeera. 27 November 2018.",Al Jazeera,2018,Media,Qatar,No known association
"13 ^ ""UN calls on China to free Uighurs from alleged re-education camps"". The Straits Times. 30 August 2018. Archived from the original on 13 October 2019. Retrieved 3 February 2020.",The Straits Times,2018,Media,Singapore,No known association
" 7 ^ Feng, Emily (9 July 2018). ""Uighur children fall victim to China anti-terror drive"". The Financial Times.",The Financial Times,2018,Media,UK,No known association
"a b Yan, Sophia (28 November 2018). ""'I begged them to kill me', Uighur woman describes torture to US politicians"". The Daily Telegraph. Archived from the original on 11 January 2022.",The Daily Telegraph,2018,Media,UK,No known association
"0 ^ Danilova, Maria (27 November 2018). ""Woman describes torture, beatings in Chinese detention camp"". Associated Press. Archived from the original on 13 December 2019. Retrieved 2 December 2019.",Associated Press,2018,Media,USA,No known association
